air_Pressure_mH2o,air_Temp_float,airtime,batt,dev_id,dist,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
10.30619526,18.68066788,2.14E+09,3.933,puhatu_b1,50.9,-107,6.8,-1,0,-11.30619526
10.24931526,21.79141998,4.94E+08,3.74,fipy_d1,30,-25,9.2,10.26378918,21.41588783,0.014473915
10.30421925,15.08574486,2.14E+09,3.582,puhatu_l1,0,-119,1.5,-1,0,-11.30421925
-1,0,4.94E+08,3.76,fipy_e1,69.6,-29,11.8,9.988920212,21.13575172,10.98892021
-1,0,2.14E+09,3.483,puhatu_b3,52.3,-116,1.8,-1,0,0
10.24794674,21.62305641,4.94E+08,3.737,fipy_d1,29.9,-25,11,10.26195335,21.31932068,0.014006615
-1,0,4.94E+08,3.763,fipy_e1,70,-30,13,9.99460125,21.10207367,10.99460125
-1,0,4.94E+08,3.762,fipy_e1,69,-27,14,9.994891167,21.0545063,10.99489117
10.25254822,21.49066734,4.94E+08,3.738,fipy_d1,29.9,-25,9.8,10.26642418,21.12328911,0.013875961
-1,0,4.94E+08,3.761,fipy_e1,69.4,-28,12.2,9.994210243,21.08137894,10.99421024
10.25096893,21.67894936,4.94E+08,3.738,fipy_d1,29.8,-25,10.2,10.26478672,21.17033005,0.013817787
-1,0,4.94E+08,3.761,fipy_e1,69.5,-27,12.5,9.99149704,21.13790321,10.99149704
10.25088978,21.62963867,4.94E+08,3.738,fipy_d1,29.7,-23,9,10.26520061,21.2318573,0.014310837
-1,0,4.94E+08,3.76,fipy_e1,69.9,-28,12.5,9.993478775,21.0724926,10.99347878
10.2520256,21.40065384,4.94E+08,3.738,fipy_d1,29.8,-25,10.8,10.26572895,21.15977859,0.013703346
10.31706142,11.9890604,2.14E+09,3.691,puhatu_b2,44.7,-121,-18.2,11.72136974,6.42535162,1.404308319
10.31706142,11.9890604,2.14E+09,3.691,puhatu_b2,44.7,-117,1.8,11.72136974,6.42535162,1.404308319
10.25023174,21.54330826,4.94E+08,3.738,fipy_d1,29.9,-23,10.8,10.26375103,21.09176445,0.013519287
10.31146812,11.3604641,2.14E+09,3.642,puhatu_l1,0,-120,-0.2,-1,0,-11.31146812
-1,0,1.97E+09,3.745,puhatu_c3,56.5,-121,-1.5,-1,0,0
10.24860668,21.61811829,4.94E+08,3.74,fipy_d1,29.7,-27,12,10.26224518,21.11714935,0.013638496
-1,0,4.94E+08,3.757,fipy_e1,69.7,-28,11.5,9.985684395,21.10214424,10.98568439
10.24368,21.70831871,4.94E+08,3.739,fipy_d1,30.1,-23,9.8,10.25784779,21.17653847,0.014167786
-1,0,4.94E+08,3.759,fipy_e1,68.7,-30,13.5,9.986639023,21.07401848,10.98663902
10.24467564,21.50502968,4.94E+08,3.739,fipy_d1,29.8,-24,9.5,10.25871944,21.15957069,0.014043808
-1,0,4.94E+08,3.76,fipy_e1,68.8,-28,8.2,9.985044479,21.02916336,10.98504448
10.24294376,21.33832741,4.94E+08,3.737,fipy_d1,29.8,-24,12.8,10.25648689,21.08190155,0.013543129
-2,0,2.14E+09,3.499,puhatu_b3,51,-120,-0.8,-1,0,1
-1,0,4.94E+08,3.76,fipy_e1,71.1,-27,12.2,9.983080864,21.07394981,10.98308086
10.2402401,21.7927742,4.94E+08,3.737,fipy_d1,29.8,-24,9.5,10.2545433,21.09728432,0.014303207
-1,0,4.94E+08,3.757,fipy_e1,69.5,-27,8.2,9.979710579,21.30164146,10.97971058
-1,0,4.94E+08,3.755,fipy_e1,69.6,-28,8.5,9.978588104,21.34122276,10.9785881
10.23826981,21.90781975,4.94E+08,3.737,fipy_d1,29.8,-23,10.8,10.25278091,21.40740395,0.014511108
-1,0,4.94E+08,3.759,fipy_e1,68.8,-25,13,9.980956078,21.33899879,10.98095608
10.31923676,12.29200459,1.97E+09,3.723,puhatu_c2,65.9,-121,-16.5,11.30219173,6.05126524,0.982954979
-1,0,1.97E+09,3.737,puhatu_c3,56.8,-120,-0.5,-1,0,0
-1,0,4.94E+08,3.759,fipy_e1,68.9,-30,13.8,9.981278419,21.34719467,10.98127842
-1,0,2.14E+09,3.532,puhatu_b3,51.5,-118,0.2,-1,0,0
-1,0,4.94E+08,3.759,fipy_e1,68.7,-26,12.2,9.982281685,21.27150345,10.98228168
-1,0,4.94E+08,3.757,fipy_e1,69.3,-28,9.2,9.983798981,21.22629929,10.98379898
10.24301243,21.26257324,4.94E+08,3.736,fipy_d1,29.9,-25,10,10.25672722,21.17522621,0.01371479
-1,0,4.94E+08,3.756,fipy_e1,69.3,-25,9.8,9.98771286,21.21956635,10.98771286
10.24535942,21.30989265,4.94E+08,3.738,fipy_d1,29.8,-25,9.2,10.25896835,21.08741951,0.013608932
10.30984879,11.37228298,1.97E+09,3.823,puhatu_c1,67.4,-124,-11.2,-1,0,-11.30984879
-1,0,4.94E+08,3.755,fipy_e1,69.1,-26,11.8,9.987107277,21.26838112,10.98710728
10.24718857,21.36030769,4.94E+08,3.736,fipy_d1,30,-24,13.2,10.26066494,21.09024811,0.013476372
-1,0,4.94E+08,3.759,fipy_e1,69.2,-27,8.2,9.989328384,21.27671432,10.98932838
10.24888897,21.2485981,4.94E+08,3.736,fipy_d1,29.8,-25,10.8,10.26168442,21.07362556,0.012795448
-1,0,4.94E+08,3.754,fipy_e1,69.3,-25,9,9.99079895,21.20498276,10.99079895
10.24973297,21.0994091,4.94E+08,3.736,fipy_d1,29.8,-28,12,10.26340485,21.02210045,0.013671875
-1,0,4.94E+08,3.755,fipy_e1,69,-29,12.5,9.990965843,21.12234879,10.99096584
10.30373383,9.82755661,2.14E+09,4.08,puhatu_b1,50,-99,9.2,-1,0,-11.30373383
10.2502203,20.99563026,4.94E+08,3.734,fipy_d1,29.7,-23,11,10.26373672,20.94484711,0.013516426
10.30053139,10.14104271,2.14E+09,3.923,puhatu_l1,0,-121,-9.2,-1,0,-11.30053139
-1,0,4.94E+08,3.755,fipy_e1,68.9,-30,12.8,9.992411613,21.03256416,10.99241161
-1,0,4.94E+08,3.755,fipy_e1,69.2,-24,11.2,9.994124413,21.00145531,10.99412441
10.25271225,21.06367493,4.94E+08,3.738,fipy_d1,29.9,-24,9.5,10.26597691,20.85407257,0.013264656
-1,0,4.94E+08,3.753,fipy_e1,68.9,-29,12,9.99433136,20.95430756,10.99433136
10.25323391,20.92209435,4.94E+08,3.733,fipy_d1,29.8,-25,12.5,10.26699829,20.80730438,0.013764381
-1,0,4.94E+08,3.753,fipy_e1,69.1,-27,9.2,9.995873451,20.86729813,10.99587345
10.25478363,20.80307198,4.94E+08,3.737,fipy_d1,29.8,-24,9,10.26823807,20.71680641,0.013454437
10.31423187,10.14182091,1.97E+09,3.823,puhatu_c1,67.2,-121,-12.2,-1,0,-11.31423187
-1,0,2.14E+09,3.826,puhatu_b3,50.8,-119,-16,-1,0,0
-1,0,2.14E+09,3.826,puhatu_b3,50.8,-117,2,-1,0,0
-1,0,4.94E+08,3.755,fipy_e1,68.9,-28,11.8,9.996687889,20.85334015,10.99668789
10.25425816,20.93291092,4.94E+08,3.736,fipy_d1,29.9,-25,12,10.26771545,20.70197678,0.013457298
-1,0,4.94E+08,3.754,fipy_e1,68.9,-29,11.5,9.996899605,20.83000946,10.9968996
10.25460243,20.81737328,4.94E+08,3.737,fipy_d1,29.9,-23,11.5,10.26764679,20.67714691,0.013044357
-1,0,4.94E+08,3.752,fipy_e1,69,-28,12,9.997030258,20.76258278,10.99703026
10.25526333,20.7368927,4.94E+08,3.735,fipy_d1,29.9,-25,11,10.26918125,20.60403061,0.013917923
-1,0,4.94E+08,3.752,fipy_e1,68.9,-26,9,9.996831894,20.76175117,10.99683189
10.29998779,5.809381485,2.14E+09,4.078,puhatu_b1,52.8,-99,7.8,-1,0,-11.29998779
10.30305576,7.123576164,2.14E+09,3.997,puhatu_b2,44.3,-121,-3.8,11.71160984,6.474969387,1.408554077
10.25478363,20.88461685,4.94E+08,3.734,fipy_d1,29.8,-24,10.2,10.26823616,20.60334015,0.01345253
-1,0,4.94E+08,3.751,fipy_e1,69.1,-28,12.2,9.996134758,20.75327873,10.99613476
-1,0,4.94E+08,3.753,fipy_e1,69,-29,11.5,9.999464035,20.70606041,10.99946404
10.30693626,8.513072014,2.14E+09,3.83,puhatu_b3,51.2,-120,-1.5,-1,0,-11.30693626
-1,0,1.97E+09,4.101,puhatu_c3,56.4,-120,-2.8,-1,0,0
-1,0,4.94E+08,3.752,fipy_e1,68.6,-26,9.8,10.00008678,20.70987701,11.00008678
10.25785255,20.89455795,4.94E+08,3.735,fipy_d1,29.8,-24,13.2,10.27092838,20.56754112,0.013075829
10.25925922,20.86841011,4.94E+08,3.735,fipy_d1,29.8,-28,12.2,10.27271175,20.58375168,0.01345253
-1,0,4.94E+08,3.75,fipy_e1,69.4,-24,11,10.00143909,20.67758942,11.00143909
10.25952244,20.78796387,4.94E+08,3.733,fipy_d1,29.8,-28,11.5,10.27272511,20.55588341,0.013202667
-1,0,4.94E+08,3.751,fipy_e1,69.5,-25,9.8,10.00617599,20.69279861,11.00617599
10.26432896,21.01028633,4.94E+08,3.735,fipy_d1,29.9,-27,12,10.27729702,20.57361031,0.012968063
-1,0,4.94E+08,3.751,fipy_e1,68.8,-28,8.5,10.0070858,20.73578072,11.0070858
10.26425457,21.06180191,4.94E+08,3.737,fipy_d1,29.8,-25,13,10.27775574,20.64459038,0.013501167
10.31591892,13.58701897,2.14E+09,3.832,puhatu_b3,51.3,-121,-14.2,-1,0,-11.31591892
10.31591892,13.58701897,2.14E+09,3.832,puhatu_b3,51.3,-114,4.5,-1,0,-11.31591892
-1,0,4.94E+08,3.751,fipy_e1,69.5,-25,12.2,10.00823593,20.7400856,11.00823593
10.26630402,21.02832794,4.94E+08,3.733,fipy_d1,29.8,-25,8.8,10.27997017,20.6624527,0.013666153
10.3165369,14.32611561,2.14E+09,4.002,puhatu_b2,44.7,-115,4.2,11.722929,6.493711472,1.406392097
-1,0,1.97E+09,3.698,puhatu_c3,57,-121,-1.5,-1,0,0
10.31037617,8.541067123,2.14E+09,3.921,puhatu_l1,0,-121,-2.2,-1,0,-11.31037617
-1,0,4.94E+08,3.749,fipy_e1,69.2,-28,12.2,10.01030922,20.86083984,11.01030922
-1,0,4.94E+08,3.749,fipy_e1,302.4,-25,11.8,10.00909328,21.15491676,11.00909328
